country,city,product_name,product_category,campaign_channel,budget_spent,impressions,clicks,conversion_rate,units_sold,campaign_date
france$,TORONTO$,pUReclEan tONer,SKINCARE,google ads!!,6121.55,14478,3398639,,482916,Jul 12 2023
,unknown city,purecl   ean toner,skincare,FB,9 311.58,-4668,??,"0,0923",86344,
     Italy,Berlin,gLoW sERUM,skincare,GoogleAds#,,365206,1548790,"0,2923",0,28/2/2099
japAN,Paris?,pureclean toner,SKINCARE,Billboard,budget non communique,418079,13236,,beaucoup,2023-06-12
Germny,Madrid,HydraCream,electronics,insta,,-202,4340867,,0,
JAPAN,sao_paulo@,PURECLEAN TONER!!,SKINCARE,FaCebook,,21788,752,"0,0836",0,17-09-2025xx
BrAzIl,tOrONtO,Hy   draCream,??,FB!!,8453.65 €,,14198,0.1047,0,Sep 4 2024
esPAna,###,H   ydraCream,skincare,fb,16703.2,,12021,0.0103,959062,35/5/2099
german   y,BerLin,pureclean toner!!,,bILlBOArD,$1892.49,336855,??,??,beaucoup,4/6/2099
Deutschland,madr   id,GlowSerum@,,iNsTAGraM,budget non communique,N/A,4726,0.2548,638886,39/4/2099
JAPAN$,Tokyo,PureCleanToner,SKINCARE,insta,3805.14 €,190857,1514196,??,409,03/12/24
Es   pa√±a,MADRID    ,Gl0wSerum,electronics,tiktok$,$4990.52,N/A,10509,"0,1783",744336,32/5/2099
Germany@,Tokyo ,Glow_Serum,beauty,EMAiL,$11614.12,,,,870975,2023-03-23
Espa√±a,Tokyo ,Hy   draCr3am,beauty,TikTok@,21819.98 €,N/A,,0.0579,9,Aug 21 2023
,,,,,,,,,,
??%,S√£o Paulo,Hy   dra_Cream,electronics,Instagram,$7975.12,-360,4618255,,259650,
gErMANY,Tokyo ,GlowSerum,SKINCARE,tiktok,budget non communique,417908,,3.6%,beaucoup,
Kanada%,TOkyo,Glow_Serum%,electronics,EmAiL,12708.3 €,,,??,-27,4/7/2099
JAPAN,B3rlin,HydraCream,beauty,g   oogle ads,10 560.39,,13562,??,266290,06/03/25
,Toronto,Gl0   wSerum,beauty,billboa   rd,18393.64 €,-2320,8032,0.2517,75,2023-09-02
usa,rome$,pure_cLeAn_TONer,furniture,eMaIl,20917.09 €,N/A,??,0.2894,517,19/01/24
france%,New York,hYdracreAM,,   E-mail,12 054.03,N/A,,??,beaucoup,12/12/23
Espana!!,tokyo,GLOW SERUM#,skincare,eMAIL,4005.81 €,460556,??,,991934,07/11/25
Brasil%,TORONTO,Glow_Serum,SKINCARE,TikTok   ,5 888.11,383019,??,14.1%,0,Aug 8 2023
?   ?,Tokyo ,pureclean_toner,furniture,tik_tok,budget non communique,-4755,3523026,31.1%,182717,15-02-2023xx
FRANSe,N3w_Y   0rk,Hydra_Cream,Beauty ,tiktok$,16 184.54,23979,16442,11.7%,beaucoup,10-09-2024xx
U.S.A@,Madrid!!,GLOW SERUM,beauty,google ads   ,19 181.00,-1786,17842,,0,
braz   il,Tokyo!!,hyDRaCream,??,Email   ,$512.51,-145,,20.5%,0,13/14/2099
KAnADa,#   ##,pUreClEAN ToNEr,,emai   l,10826.91,,1186074,,-18,2023-07-08
Franse,sao_paulo,pURECLEan toNer,,Instag   ram,$24899.54,,17294,,beaucoup,34/4/2099
Germany%,toKyo,pureclean toner,furniture,t   ik tok,budget non communique,13529,??,0.18,138,17/03/24
Fran   se,,PURECLEAN TONER,furniture,TiK toK,,-586,??,"0,2822",0,
ItALIE,MADRID_,HyDrA crEaM,??,InSta,$13510.16,-2327,??,??,426695,2024-03-28
dEuTSchlANd,n3W_Y0RK,Glow_Serum   ,beauty,ti   ktok,865.62,,,,-31,
Kanada,unknown city,   GlowSerum,Skincare,email,6 435.91,,4402944,23.6%,beaucoup,
Brazil#,P@r!s%,G   low_Serum,skincare,tiktok,6958.41,464707,??,0.2231,-40,05/02/23
Deutschland,toronto,PureClean Toner@,,biLLBOARd,,,10243,??,490,
Fr@nce!!,ma   drid,GlowSerum!!,SKINCARE,TikTo   k,budget non communique,356247,??,,-46,
Brasil   ,B   3rlin,PureClean_Toner,beauty,INS   TAGRAM,budget non communique,,,??,beaucoup,04/10/24
Franse,   São Paulo,p.C. TOneR,,TikTok,budget non communique,,11546,28.3%,320,
U.S.A$,p   aris,hYDRacR3aM,,FB,budget non communique,404068,,"0,33",0,17/05/23
,  PaRIs,gLoWsERum,,E-   mail,152.03,,,??,beaucoup,Aug 23 2023
,B3rlin,Hydra_Cream!!,electronics,   ??,3 228.86,,3297506,,beaucoup,
JAPAN,N   ew_York,Gl   0wSerum,beauty,??,,N/A,,,375,Jun 20 2024
France,rome@,glowserum,,FaCeBOok,4908.93,349673,7970,0.1653,-20,2025-03-06
italy#,NEW_YORK,GlowSErUM!!,,E-mail?,9033.15,69205,9872,"0,0859",-38,11/02/23
Brasil,newyork,P.C   . Toner,furniture,goOgLeaDs,23019.09,413319,,,720,Apr 8 2025
SpaiN,P@r!s,PUREC   LEAN TONER,,???,,N/A,,,0,37/7/2099
G   ermany,   berlin,GLoW_SErum,electronics,E-mail   ,budget non communique,,,"0,0319",beaucoup,09-03-2025xx
Japan,São Paulo,PURECLEAN TONER,furniture,Tik TOK,$13854.11,,4643367,"0,101",148,22/13/2099
france#,PARIS___,P.c. TOner,skincare,tik_tok,$492.59,,8435,??,0,10-03-2025xx
U.S.A,sAo PAULo,Pure_Cl   ean_Toner,furniture,billboard,7697.51,N/A,17000,"0,2206",beaucoup,
JAPAN,R0   me,PURECLEAN_TONER,skincare,facebook,9866.82 €,320349,19524,,183,28/11/2099
JappAN,,Glow_Serum,skincare,facebook?,226.53,N/A,4272899,0.2728,beaucoup,
usa,sao_paulo,HydraCr3am,??,tikTok,11061.14 €,,12016,0.3208,-29,2023-11-26
brazil,MADRID    ,GlowSerum!!,SKINCARE,??,12 394.32,171720,7758,??,-18,Aug 28 2025
u.S.A,paris,Glow_Ser   um,electronics,email,21 900.77,94278,3312083,??,53496,
usaA,r0Me,hydracream,beauty,Instagram,budget non communique,208478,,19.7%,0,16-09-2025xx
germany!!,p@R!S,pureclean toner%,furniture,tiktok,10196.97 €,389657,,24.8%,0,12-03-2025xx
Brazil,São    Paulo,GlowSerum@,beauty,   Email,18545.68 €,N/A,,??,0,2025-04-13
JAPAN,TO   KYO,hydracream,,tiktok!!,8225.82 €,N/A,??,0.1153,0,Aug 26 2023
usa,Berlin   ,hydRa cReam,beauty,insta   ,,485181,18550,,-29,
Germany,New York,PURECLEAN_TONER,furniture,i   nstagram,$2963.53,N/A,??,,623625,Mar 14 2023
??!!,NEW YORK,Pure_Clean_Toner,skincare,Instagram,8481.48,,,,426,Jun 24 2023
GErMNy,ParIS,HYDRA CREAM,??,facebook@,,N/A,??,0.2927,0,17/05/23
italy   ,Tokyo_,HydraCr3am,electronics,instagram,budget non communique,83070,3485,0.2055,147,
FRANCE#,BERLIN?,glowserum,,InSTaGrAM,$15761.13,,4949050,,-33,Jul 7 2024
Japan,Paris,   pureclean toner,beauty,tikt   ok,12527.25 €,-1095,,??,0,2025-05-23
USA!!,P@r!s,glowserum!!,electronics,FB$,budget non communique,117231,3997,??,-44,
Usaa!!,Tokyo,P.C. Toner!!,beauty,billboard,$19142.89,321023,7178,"0,0995",-6,08-02-2024xx
brAZiL,São Paulo@,Glow_S   erum,beauty,instagram,$430.73,148928,1573,,0,Jan 20 2025
F   ranse,PARIS   ?,GloW_SERUM,skincare,INSTAGRAM#,17 058.95,-1148,??,0.0426,0,2023-07-26
Spain   ,Toronto$,GLOW SER   UM,Skincare,instagram,,-2290,15242,"0,0635",0,05/08/25
unknoWN,berlin   ,gL0WSerUM,beauty,fB,19244.63 €,N/A,4622,??,130859,
BRasIl,tOKYo ,hydRA cREAm,Beauty ,E-mail$,$3046.3,N/A,??,??,-29,2025-08-08
JA   PAN,P@r!s,PUrEcLeANToneR,SKINCARE,GoogleAds?,,,3876726,,184,42/3/2099
   Spain,Tokyo ,hydracream,,billb   oard,$8656.07,450556,19322,0.0166,-25,05-03-2024xx
bRaziL,   Berlin,glOwsERUM,skincare,E-MAiL,budget non communique,,,"0,224",805223,Feb 15 2023
Deutschland%,TOKYO,HydraCream,skincare,insta#,11295.04,-3571,14517,??,194,16/6/2099
spain%,rome,PureClea   nToner,skincare,eMAiL,,139391,14671,0.0699,-18,2024-01-05
,São Paulo%,hYDracrEam,skincare,Instagram,budget non communique,N/A,5786,,640806,19/04/23
United_States,Tokyo,P.C._Toner,SKINCARE,email,1 821.96,,,"0,0693",-23,Apr 15 2023
Fr@nce,MaDrid ,HYDRA CREAM?,,E-mail,,-1663,8834,"0,1508",-20,26/03/23
U.S.   A,PArIS,Pure_Clean_Toner?,SKINCARE,e-mAiL,$9604.72,321805,4247,3.5%,135228,22/04/24
Japan,N3w_Y0rK,PureCleanToner,beauty,FB,budget non communique,-1335,??,22.5%,0,23/11/25
Italie,TORONTO,GLOW SERUM%,electronics,tiktok   ,budget non communique,2445,2831988,??,568,22/8/2099
BRAZIL_,berlin   ,PURECLEAN_TONER,skincare,tiktok#,$4874.03,370362,13633,"0,2194",beaucoup,20-05-2025xx
Fr@nce$,Paris,PureCle   anToner,beauty,billboard,12828.82,372958,776,??,0,9/12/2099
cANADA,sao_paulo,HYDrA CrEaM,Beauty ,??,,,18620,"0,162",0,May 14 2025
BrAzIL,tokyo,HYDRA_CREAM,,tik tok,$23992.63,270457,4050826,2.4%,beaucoup,Jan 1 2024
italY,  paRIs,PURECLEAN TONER,furniture,tiktok$,,341964,??,,0,
Espa   na,TOKYO,purE_cLeaN_toneR,,,$20323.9,N/A,7170,8.2%,616,2024-10-19
UnitED sTatEs,   sao_paulo,Gl   ow_Serum,Skincare,google ads%,$9328.01,44420,,"0,1529",710422,2025-01-25
USA,T0kyo$,HYDRA CREAM$,skincare,tik tok,24520.45,324701,??,0.3375,511,20/11/2099
bra   zil,B   ERLIN,glowserum?,beauty,?   ?,13710.62 €,427663,??,,721612,2025-12-24
United States,TOKYO%,GlowSerum@,Skincare,E-mail,,-573,??,"0,0744",beaucoup,
BrAziL ,tokyo   ,Gl0wSerum,,email,$9923.45,,3547,"0,166",0,19/03/25
Fr@ncE,São Paulo@,HYDRA CREAM#,electronics,Instagram,4605.04 €,N/A,,21.6%,0,2023-07-22
Spain!!,MADRID    ,PureCleanToner,skincare,tiktok,budget non communique,328023,2906,7.8%,-17,05-09-2024xx
Brasil,T   oronto,glowserum,beauty,google ads,331.24,,3495341,??,beaucoup,2023-11-10
Franse?,Tokyo,Gl0wSerum#,SKINCARE,face   book,$14115.46,-4479,??,"0,0285",237,2023-12-01
N/A,__Paris,GLowSeRuM,skincare,e-Mail,20484.61 €,152186,,21.4%,392,14/09/24
Spain%,SAOPAULO,Gl0wSe   rum,Skincare,Bi   llboard,,-3055,1182048,??,beaucoup,
Canada,paris,gL0wsERuM,skincare,E-mail,14288.87,104324,17037,,324119,
,,HydraCr3am$,skincare,goOGLE ADs,$17537.05,N/A,3095541,1.9%,615,
Japan,PaRiS   ,glOWsEruM,SKINCARE,Billbo   ard,,-3225,,??,382755,Jun 19 2023
N/A,,HydraCream,electronics,   FB,17466.37,-4882,3177057,,765439,2023-09-26
??%,SAOPAULO,GlowSerum!!%,skincare,?   ?,$22358.08,,,,0,17/05/25
ita   ly,T   oronto,H   YDRA CREAM,electronics,Billboard,13 085.53,248596,15500,,beaucoup,16/11/25
JAPAN,   New_York,HYDRA    CREAM,Beauty ,INS   TAGRAM,$4955.49,-4169,2006,??,beaucoup,21-03-2025xx
Canada,paris,gL0wsERuM,skincare,E-mail,14288.87,104324,17037,,324119,
Italie,###,GL0WSERum,SKINCARE,InSTAGRam,,99744,,"0,2865",762094,Mar 17 2023
jApAn,Madrid?,Pu   reClean Toner,furniture,GoogleAds,$14680.41,339673,2487263,26.3%,-27,25/13/2099
Kanada,B3rlin#,Pure_Clean_Toner,beauty,,4908.24,-4974,4564738,0.2308,0,Oct 28 2024
Fran   se,tOkYO,P.C.    Toner,,INSTAGRAM@,9725.85,N/A,??,25.9%,beaucoup,
germany,Roma,glow_SerUm,skincare,email,21224.44 €,-1967,17381,0.3334,0,12/2/2099
canada%,TOrontO,GlowSerum!!   ,,Em   ail,$4547.77,,17043,??,beaucoup,13/04/23
Bra   sil,P@r!s#,HydrAcr3Am,??,in   stagram,18408.97,37211,,"0,2657",beaucoup,11-03-2023xx
ITALY%,,Pure_Clean_Toner,furniture,facebook,22 139.50,N/A,11729,1.2%,572,18-03-2025xx
Espa√±a,MADRID ,PurEcLEaN tOner,beauty,tik tok,,N/A,3880883,0.2658,beaucoup,Oct 12 2023
JA   PAN,b   erlin,HYDRA CREAM?,skincare,tiktok@,$17938.27,N/A,2488237,??,523549,20/02/23
canada,R   oma,Gl0wSerum,Skincare,billboard,7 582.66,,4796,0.3264,beaucoup,14/8/2099
,New_York,GLOW_SERUM,beauty,billboard,14115.17,337775,,0.1319,342443,15/9/2099
?   ?,,PureClean_Toner,skincare,facebook,$21729.95,,9334,??,beaucoup,12-04-2023xx
Deutschland,N3w_Y0rk,GLOW SERUM   ,electronics,TikTok@,,163330,1930,3.4%,748,18/14/2099
Germny,Ber   lin,PureClean Toner,,google ads,6 546.25,,1942952,,beaucoup,42/12/2099
japan   ,PARIS___,pureclean toner?,furniture,goOgLeADS,21354.89,,??,0.1925,0,Mar 3 2024
   Usaa,S√£o    Paulo,GlowS   erum,electronics,TikTok,13353.65 €,381230,,0.1092,beaucoup,25/8/2099
N/A?,Berlin,P.C.    Toner,,instagram,3 227.68,262771,7816,0.2474,0,11-05-2025xx
spain,Sao Paulo,PURECLEAN TONER,skincare,GOOglEADs,14 303.17,388900,,0.1855,811188,2024-12-13
spain,N3w_Y   0rk,HydraCream,,INSta,9559.32 €,-2098,2619364,"0,276",438408,
Japan,New York,pureclean toner,furniture,t   ik tok,budget non communique,13529,??,0.18,138,17/03/24
U.S.A,,pUre_Clean_TONer,beauty,Tik   Tok,18 604.61,53676,1310075,??,0,Jul 15 2023
Jappan   ,SAOPAULO,HYDRA CREAM!!,electronics,tiktok,12484.59,N/A,938623,,561473,06/06/23
  It   aly,rome,pureclean_toner,furniture,FB,1141.8 €,280992,??,"0,078",beaucoup,
Brazil,New York@,   pureclean toner,beauty,Instagram,12961.12 €,202073,13118,12.8%,0,2023-01-17
Germny%,sao_paulo,pureCleaN toNer,skincare,Instagram#,,332253,3006232,"0,3089",beaucoup,33/7/2099
__Italy,PARIS   ,PureCleanToner,SKINCARE,   Email,6751.38 €,458037,12608,"0,1527",beaucoup,
E   spana,S√£o Paul   o,HYDRA CREAM,electronics,tiktok,$11207.6,N/A,,??,59797,13-10-2023xx
France,Berlin,hYdrAcR3Am,skincare,B   illboard,budget non communique,169932,3375299,"0,0289",beaucoup,2023-05-13
Italie!!,sao paULo,GLowSeRUm,,tik   tok,,N/A,3383043,0.1781,beaucoup,24/02/23
canada,madrid,Hydra_Cream,skincare,FB@,,325219,18340,0.1421,205290,28/09/24
Ger   many,S√£o Paulo%,puREcLEAnTonEr,furniture,,9 926.26,,??,0.0987,beaucoup,May 5 2024
Brasil,BERLIN#,Gl   owSerum,skincare,tik tok,,187769,??,"0,1356",0,18/8/2099
Germany,berlin,P.C.    Toner,,email$,,,3519,"0,3293",792118,
Espana,tokyo   ,HydraCr3am   ,,inStagRaM,budget non communique,N/A,982715,32.6%,-7,05-04-2023xx
???,Rome@,Gl0wSerum,electronics,email,,-168,??,,784910,2023-07-26
japan,  Paris#,PureCleanToner%,SKINCARE,billboard,2 181.98,,17132,29.1%,0,20-07-2025xx
Spain,BERLIN%,glOwSeruM,electronics,tIkTOK,17535.52 €,N/A,??,??,-26,32/4/2099
Brasil%,N3w_Y0rk,Pure_Clean_Toner,beauty,bi   llboard,11 557.98,359366,14345,"0,0509",498587,
sPAIn,New_   York,glOWSerum,electronics,tik tok,972.25,408029,??,,272,17-10-2025xx
deuTsChLand,PARIS,Glow_Serum%,,instagram,18 324.58,374768,6776,??,260,May 22 2025
Germany%,  Paris,hydra_CReam,electronics,In   stagram,1671.36 €,N/A,13219,,beaucoup,14/14/2099
japPan,tokyo,pureclean toner,SKINCARE,fAcEbook,9444.08,-3941,1486,??,-26,
Fr   ance,N3w_Y0rk,pureclean_toner,beauty,,16127.07,,,0.1427,0,08/06/24
Fra   nce,madrid%,G   low_Serum,Skincare,TiKToK,1 411.54,462099,,5.1%,106544,27-04-2025xx
Brasil,Madrid$,HydraCr   eam,beauty,tik Tok,21 295.42,72559,??,,beaucoup,Sep 11 2023
Germny   ,S√£o Paulo%,GlowSer   um,,T   ikTok,6 124.25,-2424,1475663,??,beaucoup,6/9/2099
GErMNy,PARIS   $,hydracream!!,??,insta,13 845.66,-2166,,??,186352,Sep 23 2024
Germny,madrid,P.C. Toner,skincare,FB,16785.64 €,-2661,19169,??,142,38/7/2099
Canada,,Glow_Serum,electronics,TikTok,budget non communique,-541,4058,,-5,07-03-2023xx
Italie,Toronto,P.C._Toner,SKINCARE,insta,$5564.52,-372,,30.3%,444573,
brazil!!,unknown_city,GlowS   erum,electronics,GOogLe adS,budget non communique,385362,2594328,??,221,23-08-2024xx
japan,Toronto!!,PureCle   anToner,beauty,??,budget non communique,-46,3876,??,beaucoup,04-06-2023xx
italy,Madrid,HydraCr3am,Beauty ,BIllBoArd,$11345.5,32950,11615,0.082,174121,08/09/24
brazil,,PURECLEAN TONER,SKINCARE,emai   l,17583.89 €,269231,1108439,??,-23,08/01/24
Deutschland%,São    Paulo,PURECLEAN TONER,furniture,instagram!!,$16995.65,-638,??,22.8%,529235,Nov 19 2023
u   sa,ma   drid,PUR   ECLEAN TONER,SKINCARE,tIktOk,8850.22 €,N/A,2877,,beaucoup,28/09/25
Spain@,,gLOWserUM,beauty,billboard,7 620.41,N/A,??,"0,3053",629,32/10/2099
Brazil,Berlin,Hydra_Cream,skincare,google ads   ,19283.79 €,263415,2769281,,56,04/02/23
italy,New YorK,PUReClEan tOner,beauty,   Email,21 946.92,407895,5251,"0,2355",0,6/12/2099
FRANCE,TOKYO,GLOWSErum,electronics,TikTok,2658.65 €,148605,2479469,2.8%,254911,
Jappan,   sao_paulo,Glo   w_Serum,skincare,INSTAGRAM,,N/A,18965,,441,
U.S.A,Roma!!,hydracream$,Beauty ,tiktok,$6142.93,-2160,??,"0,1559",0,2023-03-02
germany,BerliN,GLOW SERUM?,Skincare,GOoGLeADs,,N/A,4592110,0.1547,221189,26-05-2024xx
eSpana,toron   to,GLOW SERUM?,skincare,E-mail,$23781.37,,,"0,0225",-35,Jul 27 2023
  Italy,Paris,H   ydraCream,Beauty ,   Billboard,$3041.72,N/A,14088,0.222,92,06-06-2023xx
,São_Paulo,PureClean_Toner,beauty,bi   llboard,13265.79 €,94691,8757,,0,
Italie,T0kyo,PureClean Toner@,beauty,FB,12227.39 €,,3908,??,989568,22/06/24
Germany$,paris?,GLOW SERUM,skincare,E-   mail,$3567.47,113008,945696,0.2705,388,17/6/2099
Fran   ce,Tokyo @,pureclean_toner,skincare,Instagram,15574.65,447715,2402221,??,238791,2024-05-08
United_States,N3W_y0RK,hydracream,electronics,FB#,5 920.23,366536,209,??,-45,2025-04-19
??   ,New Y   ork,hyDracReAM,beauty,emaIL,,180299,2520015,??,-45,16/10/24
jaPpAN,tOROntO,   HYDRA CREAM,beauty,   ??,20993.26 €,368340,3355724,0.2077,482417,3/15/2099
??   ,paris%,Hyd   raCr3am,Beauty ,GoogleAds$,,N/A,5093,??,459895,01/03/25
ITALY#,,Glow_Se   rum,,instagram,,N/A,7151,"0,1271",0,21/03/23
b   razil,N   3w_Y0rk,hydracream,skincare,   FB,7076.16 €,41398,,"0,1432",-19,2023-08-13
CAnaDA,newyork,Pure_Clean_Toner#,furniture,Email,,52426,9070,,654727,09-01-2025xx
deutschlAND,Toronto?,HYDRA CREAM#,Beauty ,INSTAGRAM,6 264.50,,12258,"0,1638",984693,06/12/25
