country,city,product_name,product_category,campaign_channel,budget_spent,clicks,conversion_rate,units_sold,campaign_date
brazil,sao_paulo,pure_clean_toner,furniture,tiktok,13854.11,4643367.0,0.101,148.0,2025-04-08
france,paris,pure_clean_toner,skin_care,tiktok,492.59,8435.0,6.078482972136223,0.0,2025-04-08
brazil,sao_paulo,pure_clean_toner,furniture,billboard,7697.51,17000.0,0.2206,126099.48148148147,2025-04-08
italy,rome,pure_clean_toner,skin_care,facebook,9866.82,19524.0,6.078482972136223,183.0,2025-04-08
brazil,sao_paulo,hydra_cream,skin_care,tiktok,11061.14,12016.0,0.3208,29.0,2025-04-08
spain,madrid,glow_serum,skin_care,instagram,12394.32,7758.0,6.078482972136223,18.0,2025-08-28
france,paris,glow_serum,electronics,email,21900.77,3312083.0,6.078482972136223,53496.0,2025-08-28
italy,rome,hydra_cream,beauty,instagram,12669.726343178621,959076.9351851852,19.7,0.0,2025-08-28
france,paris,pure_clean_toner,furniture,tiktok,10196.97,959076.9351851852,24.8,0.0,2025-08-28
brazil,sao_paulo,glow_serum,beauty,email,18545.68,959076.9351851852,6.078482972136223,0.0,2025-08-28
japan,tokyo,hydra_cream,skin_care,tiktok,8225.82,959076.9351851852,0.1153,0.0,2023-08-26
usa,new_york,pure_clean_toner,furniture,instagram,2963.53,959076.9351851852,6.078482972136223,623625.0,2023-03-14
france,paris,hydra_cream,skin_care,facebook,12669.726343178621,959076.9351851852,0.2927,0.0,2023-03-14
japan,tokyo,hydra_cream,electronics,instagram,12669.726343178621,3485.0,0.2055,147.0,2023-03-14
france,paris,pure_clean_toner,beauty,tiktok,12527.25,959076.9351851852,6.078482972136223,0.0,2023-03-14
france,paris,glow_serum,electronics,facebook,12669.726343178621,3997.0,6.078482972136223,44.0,2023-03-14
japan,tokyo,pure_clean_toner,beauty,billboard,19142.89,7178.0,0.0995,6.0,2023-03-14
brazil,sao_paulo,glow_serum,beauty,instagram,430.73,1573.0,6.078482972136223,0.0,2025-01-20
france,paris,glow_serum,skin_care,instagram,17058.95,959076.9351851852,0.0426,0.0,2025-01-20
canada,toronto,glow_serum,skin_care,instagram,12669.726343178621,15242.0,0.0635,0.0,2025-01-20
germany,berlin,glow_serum,beauty,facebook,19244.63,4622.0,6.078482972136223,130859.0,2025-01-20
japan,tokyo,hydra_cream,beauty,email,3046.3,959076.9351851852,6.078482972136223,29.0,2025-01-20
japan,tokyo,hydra_cream,skin_care,billboard,8656.07,19322.0,0.0166,25.0,2025-01-20
germany,berlin,glow_serum,skin_care,email,12669.726343178621,959076.9351851852,0.224,805223.0,2023-02-15
japan,tokyo,hydra_cream,skin_care,instagram,11295.04,14517.0,6.078482972136223,194.0,2023-02-15
italy,rome,pure_clean_toner,skin_care,email,12669.726343178621,14671.0,0.0699,18.0,2023-02-15
japan,tokyo,pure_clean_toner,skin_care,email,1821.96,959076.9351851852,0.0693,23.0,2023-04-15
spain,madrid,hydra_cream,skin_care,email,12669.726343178621,8834.0,0.1508,20.0,2023-04-15
france,paris,pure_clean_toner,skin_care,email,9604.72,4247.0,3.5,135228.0,2023-04-15
usa,new_york,pure_clean_toner,beauty,facebook,12669.726343178621,959076.9351851852,22.5,0.0,2023-04-15
canada,toronto,glow_serum,electronics,tiktok,12669.726343178621,2831988.0,6.078482972136223,568.0,2023-04-15
germany,berlin,pure_clean_toner,skin_care,tiktok,4874.03,13633.0,0.2194,126099.48148148147,2023-04-15
france,paris,pure_clean_toner,beauty,billboard,12828.82,776.0,6.078482972136223,0.0,2023-04-15
brazil,sao_paulo,hydra_cream,beauty,instagram,12669.726343178621,18620.0,0.162,0.0,2025-05-14
japan,tokyo,hydra_cream,skin_care,tiktok,23992.63,4050826.0,2.4,126099.48148148147,2024-01-01
brazil,sao_paulo,glow_serum,skin_care,google_ads,9328.01,959076.9351851852,0.1529,710422.0,2024-01-01
japan,tokyo,hydra_cream,skin_care,tiktok,24520.45,959076.9351851852,0.3375,511.0,2024-01-01
germany,berlin,glow_serum,beauty,instagram,13710.62,959076.9351851852,6.078482972136223,721612.0,2024-01-01
japan,tokyo,glow_serum,skin_care,email,12669.726343178621,959076.9351851852,0.0744,126099.48148148147,2024-01-01
japan,tokyo,glow_serum,skin_care,email,9923.45,3547.0,0.166,0.0,2024-01-01
brazil,sao_paulo,hydra_cream,electronics,instagram,4605.04,959076.9351851852,21.6,0.0,2024-01-01
spain,madrid,pure_clean_toner,skin_care,tiktok,12669.726343178621,2906.0,7.8,17.0,2024-01-01
canada,toronto,glow_serum,beauty,google_ads,331.24,3495341.0,6.078482972136223,126099.48148148147,2024-01-01
japan,tokyo,glow_serum,skin_care,facebook,14115.46,959076.9351851852,0.0285,237.0,2024-01-01
france,paris,glow_serum,skin_care,email,20484.61,959076.9351851852,21.4,392.0,2024-01-01
brazil,sao_paulo,glow_serum,skin_care,billboard,12669.726343178621,1182048.0,6.078482972136223,126099.48148148147,2024-01-01
france,paris,glow_serum,skin_care,email,14288.87,17037.0,6.078482972136223,324119.0,2024-01-01
france,paris,glow_serum,skin_care,billboard,12669.726343178621,959076.9351851852,6.078482972136223,382755.0,2023-06-19
canada,toronto,hydra_cream,electronics,billboard,13085.53,15500.0,6.078482972136223,126099.48148148147,2023-06-19
usa,new_york,hydra_cream,beauty,instagram,4955.49,2006.0,6.078482972136223,126099.48148148147,2023-06-19
france,paris,glow_serum,skin_care,email,14288.87,17037.0,6.078482972136223,324119.0,2023-06-19
italy,paris,glow_serum,skin_care,instagram,12669.726343178621,959076.9351851852,0.2865,762094.0,2023-03-17
spain,madrid,pure_clean_toner,furniture,google_ads,14680.41,2487263.0,26.3,27.0,2023-03-17
germany,berlin,pure_clean_toner,beauty,instagram,4908.24,4564738.0,0.2308,0.0,2024-10-28
italy,rome,glow_serum,skin_care,email,21224.44,17381.0,0.3334,0.0,2024-10-28
canada,toronto,glow_serum,skin_care,email,4547.77,17043.0,6.078482972136223,126099.48148148147,2024-10-28
france,paris,hydra_cream,skin_care,instagram,18408.97,959076.9351851852,0.2657,126099.48148148147,2024-10-28
italy,paris,pure_clean_toner,furniture,facebook,22139.5,11729.0,1.2,572.0,2024-10-28
spain,madrid,pure_clean_toner,beauty,tiktok,12669.726343178621,3880883.0,0.2658,126099.48148148147,2023-10-12
germany,berlin,hydra_cream,skin_care,tiktok,17938.27,2488237.0,6.078482972136223,523549.0,2023-10-12
italy,rome,glow_serum,skin_care,billboard,7582.66,4796.0,0.3264,126099.48148148147,2023-10-12
usa,new_york,glow_serum,beauty,billboard,14115.17,959076.9351851852,0.1319,342443.0,2023-10-12
france,paris,pure_clean_toner,skin_care,facebook,21729.95,9334.0,6.078482972136223,126099.48148148147,2023-10-12
usa,new_york,glow_serum,electronics,tiktok,12669.726343178621,1930.0,3.4,748.0,2023-10-12
france,paris,pure_clean_toner,furniture,google_ads,21354.89,959076.9351851852,0.1925,0.0,2024-03-03
brazil,sao_paulo,glow_serum,electronics,tiktok,13353.65,959076.9351851852,0.1092,126099.48148148147,2024-03-03
germany,berlin,pure_clean_toner,skin_care,instagram,3227.68,7816.0,0.2474,0.0,2024-03-03
brazil,sao_paulo,pure_clean_toner,skin_care,google_ads,14303.17,959076.9351851852,0.1855,811188.0,2024-03-03
usa,new_york,hydra_cream,skin_care,instagram,9559.32,2619364.0,0.276,438408.0,2024-03-03
usa,new_york,pure_clean_toner,furniture,tiktok,12669.726343178621,959076.9351851852,0.18,138.0,2024-03-03
usa,paris,pure_clean_toner,beauty,tiktok,18604.61,1310075.0,6.078482972136223,0.0,2023-07-15
brazil,sao_paulo,hydra_cream,electronics,tiktok,12484.59,938623.0,6.078482972136223,561473.0,2023-07-15
italy,rome,pure_clean_toner,furniture,facebook,1141.8,959076.9351851852,0.078,126099.48148148147,2023-07-15
usa,new_york,pure_clean_toner,beauty,instagram,12961.12,13118.0,12.8,0.0,2023-07-15
brazil,sao_paulo,pure_clean_toner,skin_care,instagram,12669.726343178621,3006232.0,0.3089,126099.48148148147,2023-07-15
france,paris,pure_clean_toner,skin_care,email,6751.38,12608.0,0.1527,126099.48148148147,2023-07-15
brazil,sao_paulo,hydra_cream,electronics,tiktok,11207.6,959076.9351851852,6.078482972136223,59797.0,2023-07-15
germany,berlin,hydra_cream,skin_care,billboard,12669.726343178621,3375299.0,0.0289,126099.48148148147,2023-07-15
spain,madrid,hydra_cream,skin_care,facebook,12669.726343178621,18340.0,0.1421,205290.0,2023-07-15
brazil,sao_paulo,pure_clean_toner,furniture,instagram,9926.26,959076.9351851852,0.0987,126099.48148148147,2024-05-05
germany,berlin,glow_serum,skin_care,tiktok,12669.726343178621,959076.9351851852,0.1356,0.0,2024-05-05
japan,tokyo,hydra_cream,skin_care,instagram,12669.726343178621,982715.0,32.6,7.0,2024-05-05
italy,rome,glow_serum,electronics,email,12669.726343178621,959076.9351851852,6.078482972136223,784910.0,2024-05-05
france,paris,pure_clean_toner,skin_care,billboard,2181.98,17132.0,29.1,0.0,2024-05-05
germany,berlin,glow_serum,electronics,tiktok,17535.52,959076.9351851852,6.078482972136223,26.0,2024-05-05
usa,new_york,pure_clean_toner,beauty,billboard,11557.98,14345.0,0.0509,498587.0,2024-05-05
usa,new_york,glow_serum,electronics,tiktok,972.25,959076.9351851852,6.078482972136223,272.0,2024-05-05
france,paris,glow_serum,skin_care,instagram,18324.58,6776.0,6.078482972136223,260.0,2025-05-22
france,paris,hydra_cream,electronics,instagram,1671.36,13219.0,6.078482972136223,126099.48148148147,2025-05-22
japan,tokyo,pure_clean_toner,skin_care,facebook,9444.08,1486.0,6.078482972136223,26.0,2025-05-22
spain,madrid,glow_serum,skin_care,tiktok,1411.54,959076.9351851852,5.1,106544.0,2025-05-22
spain,madrid,hydra_cream,beauty,tiktok,21295.42,959076.9351851852,6.078482972136223,126099.48148148147,2023-09-11
brazil,sao_paulo,glow_serum,skin_care,tiktok,6124.25,1475663.0,6.078482972136223,126099.48148148147,2023-09-11
france,paris,hydra_cream,skin_care,instagram,13845.66,959076.9351851852,6.078482972136223,186352.0,2024-09-23
spain,madrid,pure_clean_toner,skin_care,facebook,16785.64,19169.0,6.078482972136223,142.0,2024-09-23
canada,paris,glow_serum,electronics,tiktok,12669.726343178621,4058.0,6.078482972136223,5.0,2024-09-23
canada,toronto,pure_clean_toner,skin_care,instagram,5564.52,959076.9351851852,30.3,444573.0,2024-09-23
brazil,paris,glow_serum,electronics,google_ads,12669.726343178621,2594328.0,6.078482972136223,221.0,2024-09-23
canada,toronto,pure_clean_toner,beauty,instagram,12669.726343178621,3876.0,6.078482972136223,126099.48148148147,2024-09-23
spain,madrid,hydra_cream,beauty,billboard,11345.5,11615.0,0.082,174121.0,2024-09-23
brazil,paris,pure_clean_toner,skin_care,email,17583.89,1108439.0,6.078482972136223,23.0,2024-09-23
brazil,sao_paulo,pure_clean_toner,furniture,instagram,16995.65,959076.9351851852,22.8,529235.0,2023-11-19
spain,madrid,pure_clean_toner,skin_care,tiktok,8850.22,2877.0,6.078482972136223,126099.48148148147,2023-11-19
spain,paris,glow_serum,beauty,billboard,7620.41,959076.9351851852,0.3053,629.0,2023-11-19
germany,berlin,hydra_cream,skin_care,google_ads,19283.79,2769281.0,6.078482972136223,56.0,2023-11-19
usa,new_york,pure_clean_toner,beauty,email,21946.92,5251.0,0.2355,0.0,2023-11-19
japan,tokyo,glow_serum,electronics,tiktok,2658.65,2479469.0,2.8,254911.0,2023-11-19
italy,rome,hydra_cream,beauty,tiktok,6142.93,959076.9351851852,0.1559,0.0,2023-11-19
germany,berlin,glow_serum,skin_care,google_ads,12669.726343178621,4592110.0,0.1547,221189.0,2023-11-19
canada,toronto,glow_serum,skin_care,email,23781.37,959076.9351851852,0.0225,35.0,2023-07-27
france,paris,hydra_cream,beauty,billboard,3041.72,14088.0,0.222,92.0,2023-07-27
japan,tokyo,pure_clean_toner,beauty,facebook,12227.39,3908.0,6.078482972136223,989568.0,2023-07-27
france,paris,glow_serum,skin_care,email,3567.47,945696.0,0.2705,388.0,2023-07-27
japan,tokyo,pure_clean_toner,skin_care,instagram,15574.65,2402221.0,6.078482972136223,238791.0,2023-07-27
usa,new_york,hydra_cream,electronics,facebook,5920.23,209.0,6.078482972136223,45.0,2023-07-27
usa,new_york,hydra_cream,beauty,email,12669.726343178621,2520015.0,6.078482972136223,45.0,2023-07-27
canada,toronto,hydra_cream,beauty,instagram,20993.26,3355724.0,0.2077,482417.0,2023-07-27
france,paris,hydra_cream,beauty,google_ads,12669.726343178621,5093.0,6.078482972136223,459895.0,2023-07-27
usa,new_york,hydra_cream,skin_care,facebook,7076.16,959076.9351851852,0.1432,19.0,2023-07-27
usa,new_york,pure_clean_toner,furniture,email,12669.726343178621,9070.0,6.078482972136223,654727.0,2023-07-27
canada,toronto,hydra_cream,beauty,instagram,6264.5,12258.0,0.1638,984693.0,2023-07-27
usa,paris,pure_clean_toner,beauty,instagram,7868.41,11297.0,6.078482972136223,126099.48148148147,2023-07-27
usa,paris,pure_clean_toner,skin_care,google_ads,12669.726343178621,1154550.0,0.3107,126099.48148148147,2023-07-27
france,paris,glow_serum,beauty,tiktok,414.43,959076.9351851852,6.078482972136223,0.0,2025-07-12
germany,berlin,glow_serum,skin_care,email,5120.93,19725.0,30.2,0.0,2025-07-12
germany,berlin,pure_clean_toner,furniture,email,23368.96,5068.0,0.2673,126099.48148148147,2025-07-12
spain,madrid,pure_clean_toner,skin_care,facebook,24824.26,4941746.0,6.078482972136223,63071.0,2025-07-12
canada,toronto,pure_clean_toner,skin_care,facebook,10429.71,10357.0,6.078482972136223,23.0,2025-01-27
spain,madrid,hydra_cream,beauty,facebook,21588.67,356.0,25.2,394.0,2025-05-15
japan,tokyo,hydra_cream,beauty,email,13334.64,15734.0,0.258,0.0,2025-05-15
brazil,sao_paulo,hydra_cream,skin_care,email,5815.95,959076.9351851852,0.2961,536.0,2025-05-15
usa,new_york,hydra_cream,beauty,billboard,12669.726343178621,969.0,6.078482972136223,705.0,2025-09-10
italy,rome,pure_clean_toner,furniture,tiktok,10011.74,12046.0,6.078482972136223,633.0,2024-03-16
japan,tokyo,pure_clean_toner,furniture,tiktok,5115.64,1567762.0,6.078482972136223,140740.0,2024-03-16
france,paris,hydra_cream,electronics,tiktok,23166.2,2406.0,6.078482972136223,674.0,2025-07-02
japan,paris,hydra_cream,skin_care,email,24992.58,959076.9351851852,6.078482972136223,9.0,2025-07-02
france,paris,hydra_cream,skin_care,tiktok,1023.36,960987.0,0.337,0.0,2025-07-02
japan,tokyo,glow_serum,beauty,google_ads,7440.01,2876337.0,0.1115,121779.0,2025-07-02
germany,berlin,pure_clean_toner,skin_care,instagram,2848.68,4261276.0,0.4,528.0,2025-07-02
france,paris,pure_clean_toner,skin_care,billboard,3434.62,2543.0,0.3108,418.0,2025-07-02
japan,tokyo,pure_clean_toner,furniture,instagram,12649.16,959076.9351851852,2.2,446830.0,2024-11-04
italy,rome,glow_serum,skin_care,google_ads,3071.42,6453.0,0.2623,38.0,2024-11-04
germany,berlin,hydra_cream,skin_care,instagram,7903.19,1852347.0,0.2057,40.0,2024-11-04
usa,new_york,glow_serum,skin_care,facebook,23220.21,19431.0,6.078482972136223,126099.48148148147,2024-11-04
japan,tokyo,hydra_cream,skin_care,instagram,2705.84,959076.9351851852,6.078482972136223,17.0,2024-11-04
germany,berlin,pure_clean_toner,skin_care,billboard,21136.89,3353132.0,6.078482972136223,63.0,2024-11-04
usa,new_york,hydra_cream,beauty,google_ads,2248.07,11864.0,0.2384,0.0,2024-11-04
japan,tokyo,pure_clean_toner,skin_care,instagram,13432.74,2666293.0,0.1985,387.0,2024-11-04
usa,new_york,pure_clean_toner,skin_care,email,17432.61,959076.9351851852,0.2191,126099.48148148147,2024-11-04
japan,tokyo,pure_clean_toner,skin_care,tiktok,12669.726343178621,959076.9351851852,6.078482972136223,668084.0,2024-11-04
japan,tokyo,glow_serum,beauty,tiktok,12669.726343178621,13506.0,3.7,42.0,2024-11-04
france,paris,pure_clean_toner,furniture,google_ads,12669.726343178621,2444751.0,0.217,126099.48148148147,2023-07-10
brazil,sao_paulo,hydra_cream,beauty,instagram,8234.42,3801.0,0.1416,568722.0,2025-03-18
japan,tokyo,hydra_cream,beauty,instagram,655.32,959076.9351851852,6.3,770415.0,2025-03-18
spain,madrid,glow_serum,electronics,instagram,17657.59,10533.0,0.1514,156.0,2025-03-18
italy,rome,hydra_cream,skin_care,tiktok,14057.47,959076.9351851852,18.4,0.0,2025-03-18
france,paris,glow_serum,skin_care,instagram,17058.95,959076.9351851852,0.0426,0.0,2025-03-18
canada,toronto,glow_serum,skin_care,tiktok,9290.65,3961.0,0.2273,579.0,2025-03-18
japan,tokyo,hydra_cream,electronics,google_ads,13923.58,959076.9351851852,0.2183,126099.48148148147,2025-03-18
brazil,sao_paulo,hydra_cream,beauty,email,16462.14,1062762.0,6.078482972136223,155.0,2024-09-09
canada,paris,glow_serum,electronics,instagram,12669.726343178621,6670.0,6.078482972136223,448.0,2024-09-09
france,paris,hydra_cream,electronics,billboard,19924.03,4815033.0,1.2,451606.0,2024-09-09
